what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400754996290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400755000064
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400755006135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400755022566
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400755024812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755025155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755030778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755056455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755056919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755058713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755063730
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1400755065861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755067944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400755068711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755073046
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400755073178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400755073204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755073703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755074310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755074800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755087342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755093811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755094682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755095897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755097422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1400755098930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400755100328
